City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
442,Ipixuna,BR,76.95,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
452,San Martin,AR,77.54,light rain,-33.081,-68.4681,Club El Pelícano
454,Idenao,CM,78.24,light rain,4.2475,9.0047,Moland Beach Resort
455,Quatre Cocos,MU,80.71,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
459,Dakar,SN,72.48,broken clouds,14.6937,-17.4441,Redface Studios Meublés
465,Lahaina,US,78.04,few clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
466,Xuddur,SO,74.12,broken clouds,4.1213,43.8894,Banjanay Hotel
468,Fort Wellington,GY,76.28,clear sky,6.4,-57.6,TE'AMO Entertainment Park
471,Wanlaweyn,SO,77.18,broken clouds,2.6185,44.8938,GAASHAAN HOME
479,Afogados Da Ingazeira,BR,71.47,scattered clouds,-7.7508,-37.6392,Hotel Brotas
480,Nuevo Progreso,MX,73.89,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
482,Makakilo City,US,75.56,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
483,Maldonado,UY,70.99,broken clouds,-34.6667,-54.9167,La Cimarrona
486,Bela Vista,BR,74.86,clear sky,-22.1089,-56.5211,Bella Vista Palace Hotel
487,Alindao,CF,77.36,overcast clouds,5.0267,21.2088,OCHA Alindao
488,Poum,NC,81.46,clear sky,-20.2333,164.0167,Gîte kajeon
491,Broken Hill,AU,73.11,clear sky,-31.95,141.4333,Royal Exchange Hotel
495,Port Blair,IN,82.44,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
500,Owerri,NG,73.92,few clouds,5.4833,7.0304,Donamario
502,Vanimo,PG,82.69,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
506,Kaeo,NZ,75.33,overcast clouds,-35.1,173.7833,Bushido Lodge
507,Caucaia,BR,80.55,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
515,Albury,AU,75.33,broken clouds,-36.0833,146.9167,Albury Georgian Motel & Suites
520,Matara,LK,84.72,very heavy rain,5.9485,80.5353,Amaloh Boutique Resort
526,Busdi,PH,73.72,overcast clouds,8.2761,125.2514,
528,Zaraza,VE,75.4,broken clouds,9.3503,-65.3245,Hotel Zaraza
532,Sinazongwe,ZM,74.48,clear sky,-17.2614,27.4618,Lakeview Lodge
540,Ngunguru,NZ,75.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
543,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
544,Acari,PE,72.43,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
546,Totness,SR,76.57,clear sky,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
551,Puerto Escondido,MX,74.48,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
555,Sinnamary,GF,77.29,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
556,Tambura,SS,71.13,broken clouds,5.6,27.4667,Rikito Lodge
557,Christchurch,NZ,73.6,overcast clouds,-43.5333,172.6333,The George
559,Eyl,SO,76.01,few clouds,7.9803,49.8164,Amiin Hotel
561,Maridi,SS,72.77,overcast clouds,4.9158,29.4742,
563,Borba,BR,73.56,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
566,Araure,VE,76.48,scattered clouds,9.5601,-69.2148,Hotel Las Majaguas
567,Saint-Pierre,RE,83.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
568,Oistins,BB,77.09,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
573,Sola,VU,81.91,overcast clouds,-13.8833,167.55,Leumerus Bungalows
582,Thinadhoo,MV,82.35,very heavy rain,0.5333,72.9333,
586,Cardoso,BR,70.45,overcast clouds,-20.0819,-49.9142,EmilioTur Pescaria
587,Jizan,SA,76.14,overcast clouds,17.3333,42.6667,شهدان. ابوالحجر
588,Caramay,PH,83.82,broken clouds,10.1815,119.236,Peace and Love Beach Club
592,Ler,SS,75.87,overcast clouds,8.3018,30.1418,
594,Nioro,GM,70.92,clear sky,13.35,-15.75,
599,Cobija,BO,70.77,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
601,Manado,ID,79.57,scattered clouds,1.487,124.8455,Aryaduta Hotel
602,Axim,GH,76.91,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
603,Amanganj,IN,76.12,clear sky,24.4333,80.0333,Matki Choraha
608,Huarmey,PE,70.79,overcast clouds,-10.0681,-78.1522,Hotel Miramar
611,Arroio Grande,BR,70.43,few clouds,-32.2375,-53.0869,Motel Bela Vista
612,Pucallpa,PE,76.21,overcast clouds,-8.3791,-74.5539,Hospedaje Komby
