City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
96,Upernavik,72.7868,-56.1549,-8.37,64,100,6.49,GL,2022-02-03 04:22:57,overcast clouds
97,Cockburn Town,21.4612,-71.1419,72.3,83,100,17.87,TC,2022-02-03 04:26:50,overcast clouds
98,Edson,53.5835,-116.4356,-3.86,84,100,2.3,CA,2022-02-03 04:26:50,overcast clouds
99,Maceio,-9.6658,-35.7353,78.24,88,40,0.0,BR,2022-02-03 04:26:51,scattered clouds
100,Salta,-24.7859,-65.4117,70.09,85,75,0.0,AR,2022-02-03 04:26:51,broken clouds
101,Thompson,55.7435,-97.8558,-14.64,70,0,11.5,CA,2022-02-03 04:22:52,clear sky
102,Gaspe,48.8334,-64.4819,34.02,75,100,0.0,CA,2022-02-03 04:26:51,overcast clouds
103,Maragogi,-9.0122,-35.2225,78.22,78,35,6.4,BR,2022-02-03 04:26:52,scattered clouds
104,Wad Rawah,15.1603,33.1397,69.13,16,85,8.52,SD,2022-02-03 04:26:52,overcast clouds
105,Canaries,28.0,-15.5,61.39,64,0,12.66,ES,2022-02-03 04:26:52,clear sky
106,Maralal,1.0968,36.698,58.93,72,100,3.98,KE,2022-02-03 04:26:53,overcast clouds
107,Vardo,70.3705,31.1107,29.59,56,100,17.96,NO,2022-02-03 04:26:53,light snow
108,Alofi,-19.0595,-169.9187,78.69,83,89,6.91,NU,2022-02-03 04:26:53,overcast clouds
109,Fukue,32.6881,128.8419,46.76,53,75,17.27,JP,2022-02-03 04:26:54,broken clouds
110,Beyneu,45.3167,55.2,34.25,84,100,14.92,KZ,2022-02-03 04:26:54,overcast clouds
111,Gouyave,12.1646,-61.7296,77.77,78,20,23.02,GD,2022-02-03 04:26:54,few clouds
112,Nikolskoye,59.7035,30.7861,17.49,100,95,1.1,RU,2022-02-03 04:26:54,light snow
113,Tautira,-17.7333,-149.15,86.02,79,31,23.55,PF,2022-02-03 04:26:55,scattered clouds
114,Road Town,18.4167,-64.6167,75.99,75,3,16.08,VG,2022-02-03 04:26:55,clear sky
115,Hamilton,39.1834,-84.5333,47.25,95,100,8.99,US,2022-02-03 04:26:56,moderate rain
116,Kavieng,-2.5744,150.7967,80.1,79,100,13.87,PG,2022-02-03 04:26:56,overcast clouds
117,Vila Franca Do Campo,37.7167,-25.4333,60.19,76,62,8.99,PT,2022-02-03 04:26:56,broken clouds
118,Luwuk,-0.9516,122.7875,87.58,60,99,2.08,ID,2022-02-03 04:26:57,overcast clouds
119,Itoman,26.1247,127.6694,66.22,96,75,20.71,JP,2022-02-03 04:26:57,broken clouds
120,Caravelas,-17.7125,-39.2481,75.02,91,17,3.38,BR,2022-02-03 04:26:57,few clouds
121,San Juan,-31.5375,-68.5364,79.3,41,97,5.84,AR,2022-02-03 04:26:58,light rain
122,Denpasar,-8.65,115.2167,87.46,70,20,11.5,ID,2022-02-03 04:26:58,few clouds
123,Qaanaaq,77.484,-69.3632,-10.25,81,100,6.62,GL,2022-02-03 04:22:59,overcast clouds
124,La Primavera,5.4906,-70.4092,81.99,48,63,7.45,CO,2022-02-03 04:26:58,broken clouds
125,Boa Vista,2.8197,-60.6733,80.58,65,40,8.05,BR,2022-02-03 04:26:59,scattered clouds
126,Ponta Do Sol,32.6667,-17.1,67.71,78,99,9.69,PT,2022-02-03 04:23:03,overcast clouds
127,Esso,55.9333,158.7,16.9,94,95,3.02,RU,2022-02-03 04:26:59,overcast clouds
128,Cherepovets,59.1333,37.9,21.02,86,75,4.47,RU,2022-02-03 04:27:00,broken clouds
129,Yulara,-25.2406,130.9889,75.04,41,100,14.97,AU,2022-02-03 04:22:08,overcast clouds
130,Arsenyev,44.1631,133.2733,10.85,69,100,9.37,RU,2022-02-03 04:27:00,overcast clouds
131,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.89,92,100,3.06,BR,2022-02-03 04:27:01,light rain
132,Teguldet,57.3064,88.1667,12.06,96,100,4.85,RU,2022-02-03 04:27:02,overcast clouds
133,Sur,22.5667,59.5289,71.91,46,0,18.43,OM,2022-02-03 04:27:02,clear sky
134,Tiksi,71.6872,128.8694,-2.47,91,100,9.8,RU,2022-02-03 04:27:03,overcast clouds
135,Sabang,5.8933,95.3214,82.13,73,15,14.76,ID,2022-02-03 04:27:04,heavy intensity rain
